metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1766250281.3656,elite,119.42718137155,1720479706.3894,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,London,Europe,EU,United Kingdom,GB,,True,Invermae Solutions SL,51.5072,-0.127586,False,Invermae Solutions SL,True,England,success,Europe/London,W1B,1767082582,1767602765.5314,80,http,185.238.228.176:80,False,93.796253204346,112077,2403,97.900943396226,185.238.228.176
True,1766542085.5043,elite,119.00332814312,1723054486.2764,AS14197 HEALTH MARKET SCIENCE,HMS-ASN,Boca Raton,North America,,United States,US,,False,Health Market Science,26.4076,-80.0977,False,LexisNexis Risk Data Management Inc,True,Florida,success,America/New_York,33487,1767083037,1767602765.3614,80,http,69.84.182.0:80,False,273.845911026,115423,3931,96.706436315498,69.84.182.0
True,1766957982.1709,elite,118.97854950506,1720504411.0982,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,North America,,United States,US,,True,"Cloudflare, Inc.",38.9072,-77.0369,False,"CloudFlare, Inc.",False,District of Columbia,success,America/New_York,20068,1767084544,1767602765.2841,80,http,141.101.113.98:80,False,131.36506080627,112506,5124,95.643968375414,141.101.113.98
True,1767299243.9647,elite,144.92935471437,1765206270.6086,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,North America,,United States,US,,True,"Cloudflare, Inc.",38.9072,-77.0369,False,"CloudFlare, Inc.",False,District of Columbia,success,America/New_York,20068,1767020926,1767602765.2416,80,http,141.101.113.182:80,False,273.42772483826,15825,9,99.943160287988,141.101.113.182
True,1766908956.2552,elite,119.0010869693,1742445968.1965,AS201839 Zaymer PJSC,ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,False,MFC Zaymer LLC,55.0386,82.9425,False,Zaymer PJSC,True,Novosibirsk Oblast,success,Asia/Novosibirsk,630000,1767084064,1767602765.098,80,http,45.67.215.218:80,False,51.320791244507,112204,1080,99.046643833198,45.67.215.218
True,1765020437.6933,elite,119.70977514082,1742332753.8602,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Frankfurt am Main,Europe,EU,Germany,DE,,True,Gerondata LTD,50.1109,8.68213,False,Gerondata LTD,True,Hesse,success,Europe/Berlin,60313,1767082811,1767602764.8628,80,http,102.177.176.253:80,False,40.462970733643,108638,2171,98.04077286141,102.177.176.253
True,1766844887.5835,elite,119.83497878297,1742586743.2888,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,New York,North America,,United States,US,,True,"Cloudflare London, LLC",40.7191,-74.0091,False,Olo Inc,True,New York,success,America/New_York,10013,1767083280,1767602764.8503,80,http,216.205.52.25:80,False,54.409265518188,111920,3139,97.271834450152,216.205.52.25
True,1766839929.0825,elite,120.54498442121,1742333383.7696,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Frankfurt am Main,Europe,EU,Germany,DE,,True,Gerondata LTD,50.1109,8.68213,False,Gerondata LTD,True,Hesse,success,Europe/Berlin,60313,1767083330,1767602764.8273,80,http,102.177.176.237:80,False,43.924570083618,108492,2149,98.057682052765,102.177.176.237
True,1767389845.0872,elite,119.21028737614,1720481502.1436,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,London,Europe,EU,United Kingdom,GB,,True,Invermae Solutions SL,51.5072,-0.127586,False,Invermae Solutions SL,True,England,success,Europe/London,W1B,1767083100,1767602764.7141,80,http,185.238.228.22:80,False,135.67090034485,112372,5025,95.719652120582,185.238.228.22
True,1767584759.1627,elite,119.35978422556,1720527367.649,AS14197 HEALTH MARKET SCIENCE,HMS-ASN,Boca Raton,North America,,United States,US,,False,Health Market Science,26.4076,-80.0977,False,LexisNexis Risk Data Management Inc,True,Florida,success,America/New_York,33487,1767082946,1767602764.7041,80,http,69.84.182.22:80,False,91.063976287842,115188,1898,98.378969304614,69.84.182.22
True,1766964089.6974,elite,145.85652011304,1764741996.455,AS201839 Zaymer PJSC,ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,False,MFC Zaymer LLC,55.0386,82.9425,False,Zaymer PJSC,False,Novosibirsk Oblast,success,Asia/Novosibirsk,630000,1767161677,1767602764.3106,80,http,45.67.215.103:80,False,59.503078460693,18901,3,99.984130342785,45.67.215.103
True,1767062149.3625,elite,120.23666317584,1742332831.8842,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Frankfurt am Main,Europe,EU,Germany,DE,,True,Gerondata LTD,50.1109,8.68213,False,Gerondata LTD,True,Hesse,success,Europe/Berlin,60313,1767083310,1767602763.8709,80,http,102.177.176.53:80,False,96.887826919556,108893,4585,95.959569255715,102.177.176.53
True,1765584083.4627,elite,119.99678634596,1742459412.1596,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,New York,North America,,United States,US,,True,"Cloudflare London, LLC",40.7191,-74.0091,False,Olo Inc,True,New York,success,America/New_York,10013,1767083090,1767602763.8695,80,http,216.205.52.11:80,False,540.68517684937,111691,1056,99.063389713252,216.205.52.11
True,1766679989.6761,elite,120.47320986363,1742335361.7825,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Frankfurt am Main,Europe,EU,Germany,DE,,True,Gerondata LTD,50.1109,8.68213,False,Gerondata LTD,True,Hesse,success,Europe/Berlin,60313,1767083743,1767602763.7235,80,http,102.177.176.32:80,False,115.88597297668,108598,2165,98.04537616352,102.177.176.32
True,1766788750.1834,elite,119.05048026258,1720481814.4366,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,London,Europe,EU,United Kingdom,GB,,True,Invermae Solutions SL,51.5072,-0.127586,False,Invermae Solutions SL,True,England,success,Europe/London,W1B,1767082850,1767602763.6597,80,http,185.238.228.188:80,False,227.65851020813,112057,2518,97.802312895483,185.238.228.188
